ComponentType,Manufacturer,Model,PartNumber,SerialNumber,TMS System Type Description,E.164 Alias,TMS System Name,MasterSerialNumber,System Type,Cart Type,Unique ID,Facility,MEDICAL CENTER,IFCAPPONumber,POC,IP Address,Visn
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00189,,,,A1AR44D00189,Desktop Video Conferencing System,Desktop Video Conferencing System,,652,RICHMOND VA MEDICAL CENTER,487-A10087,,,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00190,TANDBERG EX90,9530121,V06.BEC.DPT.CP.B1.RM4A116,A1AR44D00190,Desktop Video Conferencing System,Desktop Video Conferencing System,29759,517,Beckley VA Medical Center,483-A10085,,10.50.8.227,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00193,TANDBERG EX90,9502388,V06.RIC.CBOC.CHVL.SW.NICOLAS.RM142,A1AR44D00193,Desktop Video Conferencing System,Desktop Video Conferencing System,10763,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.77.13,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00194,TANDBERG EX90,9502222,V06.RIC.MHS.SANDERS.B500.RM2M242,A1AR44D00194,Desktop Video Conferencing System,Desktop Video Conferencing System,8108,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.21.14,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00195,TANDBERG EX90,9524815,V16.JAC.NUT.K105.Barnett,A1AR44D00195,Desktop Video Conferencing System,Desktop Video Conferencing System,11401,586,,,,10.130.13.57,
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00200,TANDBERG EX90,9502223,V06.RIC.GEC.EXRM.1P142,A1AR44D00200,Desktop Video Conferencing System,Desktop Video Conferencing System,8109,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.19,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00201,TANDBERG EX90,9510167,V18.PHO.TMD.SWCBOC.B436,A1AR44D00201,Desktop Video Conferencing System,Desktop Video Conferencing System,9811,644,PHOENIX VA HCS,644-A11401,"Copp0, Donald",10.148.42.45,18
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00209,TANDBERG EX90,9503477,V09.TVH.AUD.MUR.BLDG3RM216,A1AR44D00209,Desktop Video Conferencing System,Desktop Video Conferencing System,8161,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.77.32.66,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00215,TANDBERG EX90,9502348,V06.RIC.CBOC.FRE2.EXAM1.Rm312,A1AR44D00215,Desktop Video Conferencing System,Desktop Video Conferencing System,10551,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.76.198,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00218,TANDBERG EX90,9502324,V06.RIC.MHS.RAGHAVAN.RM1D140,A1AR44D00218,Desktop Video Conferencing System,Desktop Video Conferencing System,9780,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.132,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00222,TANDBERG EX90,9525135,V16.LIT.OPC.NTH.PineBluff.203,A1AR44D00222,Desktop Video Conferencing System,Desktop Video Conferencing System,15993,598,NORTH LITTLE ROCK VA MED CENTER,586-A10965,,10.128.124.85,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00229,TANDBERG EX90,9502363,V06.RIC.MHS.LUMPKIN.RM2M246,A1AR44D00229,Desktop Video Conferencing System,Desktop Video Conferencing System,10580,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.178,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00233,TANDBERG EX90,9546009,V04.CLA.TMH.Ms.Linda.Fravel,A1AR44D00233,Desktop Video Conferencing System,Desktop Video Conferencing System,12685,540,LOUIS A JOHNSON VAMC,540-A20101,,10.33.99.32,5
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00236,TANDBERG EX90,9530020,V06.SBY.CBOC.WS.MHS.HEDRICK,A1AR44D00236,Desktop Video Conferencing System,Desktop Video Conferencing System,7970,659,SALISBURY VA MEDICAL CENTER,483-A10084,,10.51.105.45,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00245,TANDBERG EX90,9525042,V16.LIT.TMD.3FIN.r5035,A1AR44D00245,Desktop Video Conferencing System,Desktop Video Conferencing System,14666,598,NORTH LITTLE ROCK VA MED CENTER,586-A10965,,10.128.120.37,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00249,,,,A1AR44D00249,Desktop Video Conferencing System,Desktop Video Conferencing System,,626,MURFREESBORO VA MED CENTER,626-A19186,,,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00254,,,,A1AR44D00254,Desktop Video Conferencing System,Desktop Video Conferencing System,,652,RICHMOND VA MEDICAL CENTER,487-A10087,,,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00256,TANDBERG EX90,9502270,V06.RIC.SCI.ELLWOOD,A1AR44D00256,Desktop Video Conferencing System,Desktop Video Conferencing System,8692,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.80,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00267,TANDBERG EX90,9502367,V06.RIC.MHS.SW.CONROY.RM2M211,A1AR44D00267,Desktop Video Conferencing System,Desktop Video Conferencing System,10593,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.180,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00268,,,,A1AR44D00268,Desktop Video Conferencing System,Desktop Video Conferencing System,,626,MURFREESBORO VA MED CENTER,626-A19186,,,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00280,TANDBERG EX90,9503481,V09.MUR.TMH.BLDG9rm145e,A1AR44D00280,Desktop Video Conferencing System,Desktop Video Conferencing System,29074,626,MURFREESBORO VA MED CENTER,626-A19186,"Dickens N, Holly",10.77.91.44,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00282,TANDBERG EX90,9503482,V09.TVH.TMH.TUL.BLDG225rmSP115,A1AR44D00282,Desktop Video Conferencing System,Desktop Video Conferencing System,29069,626,MURFREESBORO VA MED CENTER,626-A19186,"Dickens N, Holly",10.78.90.166,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00286,TANDBERG EX90,9502318,V06.RIC.PCC.SHEFFIELD,A1AR44D00286,Desktop Video Conferencing System,Desktop Video Conferencing System,9776,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.126,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00289,TANDBERG EX90,9503473,V09.NAS.AUD.VAMCrmG113,A1AR44D00289,Desktop Video Conferencing System,Desktop Video Conferencing System,8219,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.78.51.223,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00301,TANDBERG EX90,9502258,V06.RIC.TMD.HEM.ONC.ATHAR.Rm5A125,A1AR44D00301,Desktop Video Conferencing System,Desktop Video Conferencing System,8618,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.70,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00302,TANDBERG EX90,9502398,V06.RIC.CBOC.FRE1.PCC.SEAMON,A1AR44D00302,Desktop Video Conferencing System,Desktop Video Conferencing System,10544,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.78.72,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00306,TANDBERG EX90,9503491,V09.NAS.MHS.VAMCrmA435,A1AR44D00306,Desktop Video Conferencing System,Desktop Video Conferencing System,5826,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.77.91.53,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00314,TANDBERG EX90,9502349,V06.RIC.CBOC.FRE1.PCC.ROSS,A1AR44D00314,Desktop Video Conferencing System,Desktop Video Conferencing System,10552,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.78.66,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00315,TANDBERG EX90,9502329,V06.RIC.DPT.HEP.GILLES,A1AR44D00315,Desktop Video Conferencing System,Desktop Video Conferencing System,10259,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.137,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00331,TANDBERG EX90,9502289,V06.RIC.DPT.POD.PERRY,A1AR44D00331,Desktop Video Conferencing System,Desktop Video Conferencing System,9425,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.101,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00339,TANDBERG EX90,9502291,V06.RIC.DPT.ORTHO,A1AR44D00339,Desktop Video Conferencing System,Desktop Video Conferencing System,9429,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.103,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00341,TANDBERG EX90,9502299,V06.RIC.IFD.CLIMO.Rm5B162,A1AR44D00341,Desktop Video Conferencing System,Desktop Video Conferencing System,9655,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.113,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00342,TANDBERG EX90,9502346,V06.RIC.CBOC.FRE1.CVT.RM126,A1AR44D00342,Desktop Video Conferencing System,Desktop Video Conferencing System,10549,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.78.68,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00343,,,,A1AR44D00343,Desktop Video Conferencing System,Desktop Video Conferencing System,,626,MURFREESBORO VA MED CENTER,626-A19186,,,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00349,TANDBERG EX90,9502350,V06.RIC.CBOC.FRE1.PHR.JOHNSON,A1AR44D00349,Desktop Video Conferencing System,Desktop Video Conferencing System,10553,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.78.90,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00350,TANDBERG EX90,9502359,V06.RIC.TMD.GI.GAIDOS,A1AR44D00350,Desktop Video Conferencing System,Desktop Video Conferencing System,29358,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.49,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00351,TANDBERG EX90,9502296,V06.RIC.DPT.VTC.MICHELLE.GILBERT,A1AR44D00351,Desktop Video Conferencing System,Desktop Video Conferencing System,31071,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.222.235.135,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00352,TANDBERG EX90,9503455,V09.MUR.IFD.BLDG3Grm18I,A1AR44D00352,Desktop Video Conferencing System,Desktop Video Conferencing System,9954,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.77.30.122,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00353,TANDBERG EX90,9503483,V09.NAS.DNC.VAMCrmG162,A1AR44D00353,Desktop Video Conferencing System,Desktop Video Conferencing System,8158,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.78.50.222,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00358,TANDBERG EX90,9502358,V06.RIC.PHR.SCHALLER,A1AR44D00358,Desktop Video Conferencing System,Desktop Video Conferencing System,10576,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.164,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00362,TANDBERG EX90,9503465,V09.TVH.TMH.FTC.CBOC5980rm15,A1AR44D00362,Desktop Video Conferencing System,Desktop Video Conferencing System,7938,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.78.250.222,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00374,TANDBERG EX90,9502347,V06.RIC.CBOC.FRE1.CVT.RM148,A1AR44D00374,Desktop Video Conferencing System,Desktop Video Conferencing System,10550,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.78.69,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00376,,,,A1AR44D00376,Desktop Video Conferencing System,Desktop Video Conferencing System,,626,MURFREESBORO VA MED CENTER,626-A19186,,,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00378,TANDBERG EX90,9502320,V06.RIC.PCC.ABOUHASIRA,A1AR44D00378,Desktop Video Conferencing System,Desktop Video Conferencing System,9778,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.128,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00380,TANDBERG EX90,9502379,V06.RIC.DPT.PMR.QUTUBUDDIN,A1AR44D00380,Desktop Video Conferencing System,Desktop Video Conferencing System,10647,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.213,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00381,TANDBERG EX90,9503468,V09.TVH.TMH.CLK.OPCrm109A,A1AR44D00381,Desktop Video Conferencing System,Desktop Video Conferencing System,7958,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.78.249.61,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00388,TANDBERG EX90,9502380,V06.RIC.DPT.CHAP.SIMMONS,A1AR44D00388,Desktop Video Conferencing System,Desktop Video Conferencing System,10648,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.214,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00391,TANDBERG EX90,9502394,V06.RIC.CBOC.FRE2.EXAM2.RM313,A1AR44D00391,Desktop Video Conferencing System,Desktop Video Conferencing System,10548,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.76.88,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00392,TANDBERG EX90,9525163,V16.LIT.TMD.r2C162.Preanes,A1AR44D00392,Desktop Video Conferencing System,Desktop Video Conferencing System,14693,598,NORTH LITTLE ROCK VA MED CENTER,586-A10965,,10.128.4.92,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00395,TANDBERG EX90,9502374,V06.RIC.SUR.GEN.SURGERY,A1AR44D00395,Desktop Video Conferencing System,Desktop Video Conferencing System,10600,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.187,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00397,TANDBERG EX90,9502390,V06.RIC.PUL.BRANT,A1AR44D00397,Desktop Video Conferencing System,Desktop Video Conferencing System,10684,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.221,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00399,TANDBERG EX90,9536502,V09.TVH.TMH.TUL.BLDG225rmSP114,A1AR44D00399,Desktop Video Conferencing System,Desktop Video Conferencing System,10414,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.78.248.30,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00401,TANDBERG EX90,9503470,V09.TVH.TMH.BOW.CBOCrm135,A1AR44D00401,Desktop Video Conferencing System,Desktop Video Conferencing System,8095,626,MURFREESBORO VA MED CENTER,626-A19186,"Dickens N, Holly",10.78.91.69,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00403,TANDBERG EX90,9502292,V06.RIC.PCC.GEORGE,A1AR44D00403,Desktop Video Conferencing System,Desktop Video Conferencing System,9439,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.104,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00407,TANDBERG EX90,9502395,V06.RIC.CBOC.FRE1.CVT.RM163,A1AR44D00407,Desktop Video Conferencing System,Desktop Video Conferencing System,10547,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.78.89,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00408,,,,A1AR44D00408,Desktop Video Conferencing System,Desktop Video Conferencing System,,626,MURFREESBORO VA MED CENTER,626-A19186,,,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00412,TANDBERG EX90,9502319,V06.RIC.PCC.RM1B194,A1AR44D00412,Desktop Video Conferencing System,Desktop Video Conferencing System,9777,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.127,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00420,TANDBERG EX90,9502397,V06.RIC.CBOC.FRE1.MHS.NGUYEN,A1AR44D00420,Desktop Video Conferencing System,Desktop Video Conferencing System,10545,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.78.71,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00421,TANDBERG EX90,9502293,V06.RIC.DPT.UROLOGY,A1AR44D00421,Desktop Video Conferencing System,Desktop Video Conferencing System,9444,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.105,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00423,TANDBERG EX90,9502315,V06.RIC.PCC.PIERSON,A1AR44D00423,Desktop Video Conferencing System,Desktop Video Conferencing System,9773,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.123,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00424,TANDBERG EX90,9525125,V16.LIT.TMH.OPC.PBC.16,A1AR44D00424,Desktop Video Conferencing System,Desktop Video Conferencing System,13791,598,NORTH LITTLE ROCK VA MED CENTER,586-A10965,,10.128.124.111,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00430,,,,A1AR44D00430,Desktop Video Conferencing System,Desktop Video Conferencing System,,503,Altoona VA Medical Center,503-A20017,,,4
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00432,TANDBERG EX90,9502351,V06.RIC.CBOC.FRE1.MHS.JONES,A1AR44D00432,Desktop Video Conferencing System,Desktop Video Conferencing System,10569,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.78.54,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00435,TANDBERG EX90,9502290,V06.RIC.DPT.ENT,A1AR44D00435,Desktop Video Conferencing System,Desktop Video Conferencing System,9427,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.102,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00436,TANDBERG EX90,9530078,V06.SAM.DPT.SCAN.KAZEMI.77.111G,A1AR44D00436,Desktop Video Conferencing System,Desktop Video Conferencing System,10662,658,Salem VA Medical Center (Virginia),658-A20099,,10.49.204.102,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00439,TANDBERG EX90,9525045,V16.LIT.TMD.3FIN.r5044,A1AR44D00439,Desktop Video Conferencing System,Desktop Video Conferencing System,16176,598,NORTH LITTLE ROCK VA MED CENTER,586-A10965,,10.128.120.40,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44D00440,TANDBERG EX90,9505474,V16.LIT.OPC.NTH.Searcy.35F,A1AR44D00440,Desktop Video Conferencing System,Desktop Video Conferencing System,16889,598,NORTH LITTLE ROCK VA MED CENTER,586-A10965,,10.128.123.145,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44F00028,TANDBERG EX90,9530213,V06.DUR.TMD.GRNV.HCC.1D123,A1AR44F00028,Desktop Video Conferencing System,Desktop Video Conferencing System,27906,558,DURHAM VA MEDICAL CENTER,558-A30751,,10.53.111.206,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44F00045,TANDBERG EX90,9530210,V06.DUR.DPT.GRNV.HCC.SPEC.2A135,A1AR44F00045,Desktop Video Conferencing System,Desktop Video Conferencing System,19295,558,DURHAM VA MEDICAL CENTER,558-A30751,,10.53.111.203,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44F00053,,,,A1AR44F00053,Desktop Video Conferencing System,Desktop Video Conferencing System,,578,"EDWARD HINES, JR. VA HOSPITAL",578-A40140,,,12
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44F00062,TANDBERG EX90,9530211,V06.DUR.DPT.GRNV.HCC.SPEC.2B194,A1AR44F00062,Desktop Video Conferencing System,Desktop Video Conferencing System,19181,558,DURHAM VA MEDICAL CENTER,558-A30751,,10.53.111.204,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44F00077,,,,A1AR44F00077,Desktop Video Conferencing System,Desktop Video Conferencing System,,631,"DEPARTMENT OF VETERANS AFFAIRS - LEEDS, MA",631-A30034,,,1
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44F00080,TANDBERG EX90,9500230,V01.NHM.CVT.CBOC.POPC.R132,A1AR44F00080,Desktop Video Conferencing System,Desktop Video Conferencing System,28511,631,"DEPARTMENT OF VETERANS AFFAIRS - LEEDS, MA",631-A30034,,10.13.83.15,1
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44F00085,TANDBERG EX90,9530046,V06.DUR.DPT.GRNV.HCC.1C177,A1AR44F00085,Desktop Video Conferencing System,Desktop Video Conferencing System,27631,558,DURHAM VA MEDICAL CENTER,558-A30751,,10.53.111.201,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44F00093,TANDBERG EX90,9530209,V06.DUR.LCR.GRNV.HCC.MULTI.D,A1AR44F00093,Desktop Video Conferencing System,Desktop Video Conferencing System,17954,558,DURHAM VA MEDICAL CENTER,558-A30751,,10.53.111.202,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44F00102,,,,A1AR44F00102,Desktop Video Conferencing System,Desktop Video Conferencing System,,558,DURHAM VA MEDICAL CENTER,558-A30751,,,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44F00191,TANDBERG EX90,9530216,V06.DUR.DPT.WHC.GRNV.HCC.1C118,A1AR44F00191,Desktop Video Conferencing System,Desktop Video Conferencing System,27907,558,DURHAM VA MEDICAL CENTER,558-A30751,,10.53.111.207,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44F00259,TANDBERG EX90,9530212,V06.DUR.AUD.GRNV.HCC.2C204,A1AR44F00259,Desktop Video Conferencing System,Desktop Video Conferencing System,27908,558,DURHAM VA MEDICAL CENTER,558-A30751,,10.53.111.208,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44G00010,TANDBERG EX90,9591012,V11.DAN.CBOC.DECATUR.2,A1AR44G00010,Desktop Video Conferencing System,Desktop Video Conferencing System,7334,550,VA ILLIANA HEALTH CARE SYSTEM,550-A19032,,10.94.52.92,11
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR44G00041,,,,A1AR44G00041,Desktop Video Conferencing System,Desktop Video Conferencing System,,586,"JACKSON, MS",586-A30671,,,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45C00003,TANDBERG EX90,9503759,V10.COS.TMD.Columbus.b1.r1A259,A1AR45C00003,Desktop Video Conferencing System,Desktop Video Conferencing System,7533,757,Columbus VA  Ambulatory Clinic (OHIO),487-A10001,,10.81.219.87,10
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45C00052,,,,A1AR45C00052,Desktop Video Conferencing System,Desktop Video Conferencing System,,520,Biloxi VA Medical Center,586-A10964,,,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45C00271,,,,A1AR45C00271,Desktop Video Conferencing System,Desktop Video Conferencing System,,635,OKLAHOMA CITY VA MEDICAL CENTER,598-C15702,,,19
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45C00280,TANDBERG EX90,9530083,V06.SAM.DPT.SCAN.EDU.RM2H125B,A1AR45C00280,Desktop Video Conferencing System,Desktop Video Conferencing System,13019,658,SALEM VA MEDICAL CENTER,658-A20157,,10.49.204.98,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45C00291,TANDBERG EX90,9523023,V15.WIC.TMD.B04R005BTelePT.OT,A1AR45C00291,Desktop Video Conferencing System,Desktop Video Conferencing System,4520,589,,,"Andrews T, Jennifer",10.124.170.51,
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45C00327,TANDBERG EX90,9503621,V10.CLL.TMD.Cambridge.b1.r126,A1AR45C00327,Desktop Video Conferencing System,Desktop Video Conferencing System,10067,538,Chillicothe VA Medical Center,487-A10001,,10.82.161.26,10
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00013,TANDBERG EX90,9503484,V09.NAS.AUD.VAMCrmG121B,A1AR45D00013,Desktop Video Conferencing System,Desktop Video Conferencing System,8258,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.78.51.222,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00014,TANDBERG EX90,9503459,V09.MUR.TMH.BLDG9RM143,A1AR45D00014,Desktop Video Conferencing System,Desktop Video Conferencing System,9962,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.77.91.89,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00015,TANDBERG EX90,9536504,V09.TVH.TMH.MCMINN.CBOCrm138,A1AR45D00015,Desktop Video Conferencing System,Desktop Video Conferencing System,28917,626,MURFREESBORO VA MED CENTER,626-A19186,,10.78.91.7,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00019,,,,A1AR45D00019,Desktop Video Conferencing System,Desktop Video Conferencing System,,626,MURFREESBORO VA MED CENTER,626-A19186,,,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00025,TANDBERG EX90,9502326,V06.RIC.DPT.DM.5C150,A1AR45D00025,Desktop Video Conferencing System,Desktop Video Conferencing System,10256,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.134,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00030,TANDBERG EX90,9530093,V06.SAM.DPT.SCAN.EDU.4.100E,A1AR45D00030,Desktop Video Conferencing System,Desktop Video Conferencing System,15811,658,Salem VA Medical Center (Virginia),658-A20099,,10.49.204.74,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00033,TANDBERG EX90,9546024,V04.CLA.TMD.Dr.Cody.Duckworth,A1AR45D00033,Desktop Video Conferencing System,Desktop Video Conferencing System,13893,540,LOUIS A JOHNSON VAMC,540-A20101,,10.33.99.24,5
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00034,TANDBERG EX90,9530097,V06.SAM.DPT.SCAN.EDU.75.151G,A1AR45D00034,Desktop Video Conferencing System,Desktop Video Conferencing System,16472,658,Salem VA Medical Center (Virginia),658-A20099,,10.49.204.76,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00036,TANDBERG EX90,9503457,V09.MUR.TMD.WELLNESS.BLDG2RMG12E,A1AR45D00036,Desktop Video Conferencing System,Desktop Video Conferencing System,9961,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.77.93.12,9
